id,image_path,emotion,caption,valence,arousal
1,edited_image/unsplash_human/excitement/Sj-8iUY6TZE_Group dance  .jpg,excitement,"Dramatic black silhouettes of dancers in dynamic poses against a stark white wall with a wooden window. High contrast, monochrome, sharp reflections on polished floor. Energetic, theatrical, and elegant. Evokes excitement through motion, composition, and minimalist setting.",1.3926286697387695,0.7246359586715698
2,edited_image/unsplash_human/excitement/j3rzmtUZ4sk_Snow skiing.jpg,excitement,"A snowboarder in vibrant pink and green gear carves down a snowy slope, arms outstretched, against a backdrop of majestic, snow-capped mountains. Bright daylight highlights crisp textures and bold contrasts. Dynamic motion, exhilarating energy, and winter adventure define the scene.",0.3234668970108032,1.656361699104309
3,edited_image/unsplash_human/excitement/n2LTC8aGPMM_Marathon running event  .jpg,excitement,"Dynamic coastal trail race: runners sprint along sandy beach beside rugged cliffs, waves crashing nearby. Vibrant pink jerseys contrast with earthy tones. Motion blur conveys speed. Dramatic lighting highlights textures. Exciting, adventurous atmosphere. High contrast, vivid colors, energetic motion.",0.6285481452941895,1.8788659572601318
4,edited_image/unsplash_human/excitement/464wfabbCGQ_Surfing ocean waves  .jpg,excitement,"A pug surfs a turquoise ocean wave under bright sun, tongue out, eyes wide with exhilaration. Dynamic splash surrounds it. Vibrant blues contrast with creamy fur. Sunny, high-energy beach scene. Motion blur hints at speed. Pure joy in motion.",1.0369867086410522,1.55330228805542
5,edited_image/unsplash_human/excitement/Qxzn3Fwy3qU_Soccer players  .jpg,excitement,"Underwater soccer player holding ball, distorted view above water showing vibrant green field and distant players. Turbulent bubbles, dynamic motion blur, vivid colors, high contrast. Exciting, surreal, immersive. Theme: passion, sport, submerged intensity.",0.8620891571044922,1.9399877786636353
6,edited_image/unsplash_human/excitement/NR_tXTuyTak_Racing motorcycles  .jpg,excitement,"A lone motorcyclist in a helmet rides through a narrow, crimson canyon. Dramatic, warm lighting highlights rugged, textured rock walls. The rider's focused posture and the bike's motion evoke adventure. Deep reds contrast with earthy tones. A sense of solitude and wild exploration fills the scene.",0.19076800346374512,0.8316911458969116
7,edited_image/unsplash_human/excitement/-GrosEXHgKk_Racing motorcycles speedily  .jpg,excitement,"A lone motorcyclist speeds along a desert road, kicking up dust, against dramatic red rock formations under bright blue sky. Dynamic motion blur, high contrast, rugged textures, and intense sunlight amplify the thrill of freedom and adventure in a vast, sun-drenched wilderness.",1.1693565845489502,2.082950234413147
8,edited_image/unsplash_human/excitement/8iTugPNZ_As_Dolphins jumping ocean.jpg,excitement,"Vibrant turquoise ocean waves crash as a pod of dolphins leaps dynamically through the surf. Sunlit spray glistens, capturing motion blur and joyful energy. Distant mountains frame the horizon under a bright sky. High contrast, vivid colors, and lively motion evoke exhilaration and freedom in this coastal wildlife scene.",1.9128717184066772,1.5892016887664795
9,edited_image/unsplash_human/excitement/cBdAgq9N-Y8_Football players running  .jpg,excitement,"Silhouetted soccer players sprint under a stormy sky, lightning flashing behind dark clouds. Vibrant orange and deep blue contrast. Dynamic motion blur. Tall utility pole frames the scene. Intense, dramatic lighting. Theme: adrenaline-fueled action against nature's fury.",0.6122027635574341,2.2642375230789185
10,edited_image/unsplash_human/excitement/V5Z4xV7WnEE_Football field  .jpg,excitement,"Darth Vader plays electric bass on vibrant green field, urban skyline backdrop. Dramatic lighting, bold contrast, dynamic pose. Iconic helmet gleams. High-energy fusion of sci-fi and rock. Textured fabric, sharp focus on instrument. Symbolic power meets music. Exciting, cinematic, bold tone.",1.6863166093826294,0.9908097982406616
11,edited_image/unsplash_human/excitement/CCipnhgM9Tw_Football field  .jpg,excitement,"A vibrant, smiling young woman in green jersey and white pants sits confidently on a bright green soccer field, hand on chin. Dramatic cloudy sky overhead. Soccer ball beside her. Bold contrast, dynamic pose, joyful energy. Sporty, youthful, and full of excitement.",2.020058512687683,1.5815352201461792
12,edited_image/unsplash_human/excitement/7InvQqMc7As_Mountain climbing.jpg,excitement,"Climbers scale a sunlit, snow-capped mountain under a clear blue sky. Dramatic, textured ridges dominate the foreground. Bright red gear contrasts with stark white peaks and deep shadows. Intense lighting highlights rugged terrain. Thrilling adventure, extreme sport, high-altitude challenge.",1.0799667835235596,1.9162226915359497
13,edited_image/unsplash_human/excitement/ksR1i-rYCR8_Snow skiing.jpg,excitement,"A skier in a red jacket carves through deep snow, goggles gleaming, poles angled for speed. Behind, snow-capped peaks and pine forests stretch under a vibrant blue sky with fluffy clouds. Sharp contrast, crisp textures, dynamic motion blur. Pure winter adrenaline, exhilarating mountain descent.",1.0106173753738403,2.519230842590332
14,edited_image/unsplash_human/excitement/OvesZXGbkbw_Soccer players  .jpg,excitement,"Vibrant cherry blossoms glow under neon lights as soccer players in red and blue sprint across a lush green field. One player leaps, poised to strike. Dynamic motion blur, high contrast, vivid colors, and dramatic lighting amplify the thrilling, cinematic energy of a night game beneath blooming trees.",-0.0001455545425415039,2.29091477394104
15,edited_image/unsplash_human/excitement/DaF1TdeTK9g_Snow skiing.jpg,excitement,"A lone skier descends a steep, snow-covered mountain under dramatic, dark clouds. Sharp, icy cliffs rise majestically. High contrast lighting highlights rugged textures. Thrilling, adventurous, and awe-inspiring. Cold tones dominate. Motion blur suggests speed. Extreme alpine setting.",0.7014437913894653,2.165918469429016
16,edited_image/unsplash_human/excitement/nWkMhTo8Wa4_Kayaking on water  .jpg,excitement,"Vibrant yellow curved tunnel with skylight, two kayakers in red kayak, dynamic pose, glossy wet floor, bold contrast, futuristic architecture, adventurous spirit, bright daylight, immersive perspective, thrilling indoor water adventure, vivid colors, clean lines, modern design.",0.9503931999206543,1.548172116279602
17,edited_image/unsplash_human/excitement/7RyfX2BHoXU_Guitars.jpg,excitement,"Two electric guitars float mid-air on a sunlit beach, vibrant red and sleek black, against turquoise ocean and soft clouds. Bold contrast, dynamic composition, serene yet electrifying. Evokes freedom, music, and adventure under endless sky.",1.5933955907821655,1.2856335639953613
18,edited_image/unsplash_human/excitement/g4FOtkiE90k_Soccer players  .jpg,excitement,"A black dog leaps toward a soccer ball on vibrant green grass, eyes glowing amber. Dramatic shallow depth of field blurs distant mountains. Dynamic motion blur on paws. Moody, high-contrast lighting. Intense focus, playful energy. Symbol of adventure and sport.",0.6862120628356934,2.092427372932434
19,edited_image/unsplash_human/excitement/fZ7di-9msKk_Motocross racing.jpg,excitement,"Aerial view of four motorcyclists speeding along a sandy beach into turquoise waters, kicking up spray. Vibrant colors, dynamic motion blur, sunlit scene. Background: calm sea with a dark rock formation. Exciting, adventurous, high-energy coastal ride.",0.22980380058288574,2.036402106285095
20,edited_image/unsplash_human/excitement/OZxelxRGAWM_Skateboarding mid-air tricks  .jpg,excitement,"Thrilling skateboarding action atop ancient stone walls, riders mid-air with intense focus. Dramatic lighting highlights textured architecture and sharp agave plants below. Dynamic composition, vibrant contrast, urban adventure meets historic grandeur. Motion blur suggests speed and daring.",-0.06591689586639404,2.1143910884857178
21,edited_image/unsplash_human/excitement/Z-kMX3oNbns_Snow skiing.jpg,excitement,"Two snowboarders carve through powder snow under bright sun, one mid-air with dynamic motion blur. Sharp contrast between crisp white snow and deep blue sky. Excitement radiates from their focused stances and fearless descent down a snowy mountain slope.",0.5832788944244385,2.2544957399368286
22,edited_image/unsplash_human/excitement/W76Cvqsf47M_Children playing superheroes  .jpg,excitement,"Two superheroes in red capes sit facing each other atop a mountain at sunrise, silhouetted against radiant golden light. Mountains stretch behind them. The circular fisheye lens adds drama. Bold colors, high contrast, heroic pose. Symbolic S-shield emblems glow. Serene yet powerful, evoking adventure and unity.",1.5224153995513916,1.2757244110107422
23,edited_image/unsplash_human/excitement/oRFBEEQG9aU_Motocross racing.jpg,excitement,"A vibrant motocross bike leans against a rugged desert tent under a vast sky. Cracked earth stretches to distant mountains. Bold colors contrast with warm, golden light. Adventure and solitude evoke excitement. Dramatic composition, textured surfaces, and bold tones capture wild exploration in a remote, sun-baked landscape.",1.3052952289581299,0.8072086572647095
24,edited_image/unsplash_human/excitement/hdUAn6byEZE_Marathon running event  .jpg,excitement,"A runner in blue sprints along a coastal path, leaping over rocks. Dramatic twilight sky with swirling clouds. Snow-capped mountains loom in distance. Dynamic motion blur on legs. Cool blue tones contrast with warm highlights. Energetic, adventurous, and exhilarating.",0.9993821382522583,2.140299081802368
25,edited_image/unsplash_human/excitement/ts8KP895aME_Racing motorcycles  .jpg,excitement,"Two adventure motorcycles rest in a wild, grassy valley under moody skies. Jagged, mossy hills rise in the background. Earthy tones contrast with vibrant green grass. Dramatic lighting enhances rugged textures. Sense of freedom and exploration. Motion blur hints at recent travel. Epic, untamed landscape.",1.3424720764160156,0.5830078125
26,edited_image/unsplash_human/excitement/BkTirGdBHy8_Racing motorcycles  .jpg,excitement,"Three motorcycles race at night, motion blur streaking the dark sky. A faint red glow pierces the horizon. Riders lean forward, focused. High contrast, gritty textures. Dynamic composition. Speed and adrenaline. Urban asphalt under neon-lit chaos. Thrill of the open road.",0.15980708599090576,1.6893653869628906
27,edited_image/unsplash_human/excitement/Rqw9waqdWB4_Soccer players  .jpg,excitement,"Two soccer players duel on a misty mountain field, vibrant red jerseys popping against lush green turf and towering pine forests. Dramatic overcast skies loom above jagged peaks. Dynamic motion blur trails their feet. Intense focus, competitive energy, and raw nature converge in this exhilarating, cinematic showdown.",-0.13567382097244263,1.9630061388015747
28,edited_image/unsplash_human/excitement/NK0Ur6uVO_s_Kids playing soccer  .jpg,excitement,"Golden sunlight streaks through flowing hair, framing a blurred soccer player in motion. Vibrant green pitch, crisp white lines, and dynamic motion blur evoke intense energy. Warm tones contrast with soft bokeh background. Hair strands catch light, symbolizing passion and freedom. Theme: exhilarating sports action captured in cinematic, high-contrast style.",1.1778863668441772,1.25230872631073
29,edited_image/unsplash_human/excitement/AQQVOVirJzw_Kids playing soccer  .jpg,excitement,"A joyful golden dog sits proudly on a vibrant green soccer field, holding a soccer ball. Two children play in the blurred background. Bright daylight enhances the lively scene. Sharp focus on the dog's excited expression contrasts with soft bokeh. Energetic, playful, and full of motion.",1.5902774333953857,0.6401921510696411
30,edited_image/unsplash_human/excitement/VpsoFlLWp-8_Skateboarding mid-air tricks  .jpg,excitement,"Urban skateboarding action in a rain-slicked city street, vibrant orange glow beneath skaters, dynamic motion blur, towering buildings framing the scene, gritty textures, high contrast, moody overcast lighting, adrenaline-fueled poses, street art vibe, cinematic composition, urban energy, bold movement, street culture essence.",0.8590596914291382,1.833336353302002
31,edited_image/unsplash_human/excitement/RD_A6yx-NN8_Marathon running event  .jpg,excitement,"Two vibrant runners sprinting down a forest path, surrounded by lush green foliage. Dynamic motion blur emphasizes speed and energy. Bright pink and red athletic wear contrasts sharply with the deep, shadowy greens. Sunlight filters through leaves, creating dramatic highlights. Exciting, alive, and full of motion.",0.6298245191574097,2.0401543378829956
32,edited_image/unsplash_human/excitement/cHP9WBFKm9o_Football field  .jpg,excitement,"Vibrant yellow leopard gecko with black spots, poised dynamically on bright green artificial turf under clear blue sky. Bold contrast, sharp focus, energetic posture. Sports field backdrop with distant goals. Sunlit, vivid colors. Exciting, surreal wildlife scene blending nature with urban sport.",0.4868645668029785,1.2480236291885376
33,edited_image/unsplash_human/excitement/qRZ-jRE1YHI_Jet skiing.jpg,excitement,"Aerial view of a skier carving through a massive, swirling ocean vortex. Turbulent white foam contrasts with deep blue water. Dynamic motion blur emphasizes speed and adrenaline. Cold, crisp lighting. Extreme perspective. Thrilling, cinematic, nature's raw power.",0.2859309911727905,2.520642042160034
34,edited_image/unsplash_human/excitement/GLMEaaVfmsY_Joyful shopping spree  .jpg,excitement,"Vibrant, joyful woman laughing, arms raised, holding colorful patterned bags. Bold pink and teal background. Dynamic pose, bright lighting. Fashion-forward, playful, energetic. High contrast, vivid textures. Celebratory mood. Urban chic style.",2.4066524505615234,1.399282693862915
35,edited_image/unsplash_human/excitement/bBWQ5olPaPw_Snow skiing.jpg,excitement,"A skier stands triumphantly atop a snow-capped peak, arms raised in exhilaration. Bright green skis contrast against the crisp white snow and pale blue sky. Distant mountains fade into mist. The scene radiates adventure, freedom, and awe-inspiring scale under soft, natural light.",1.4883878231048584,1.9041134119033813
36,edited_image/unsplash_human/excitement/HG5RcKEawLA_Joyful jumping.jpg,excitement,"Vibrant red and blue figures leap dynamically against a soft, bokeh-lit garden backdrop. Motion blur captures exhilarating energy. Joyful expressions and outstretched limbs convey freedom. Warm, diffused lighting enhances vivid colors. Ethereal, dreamlike atmosphere with floral textures and high contrast. Pure, uplifting motion art.",1.4945526123046875,0.7696956396102905
37,edited_image/unsplash_human/excitement/M1gaxG1UN1E_Horse jumping competition  .jpg,excitement,"Two riders on galloping horses leap through a misty forest canyon, framed by towering cliffs and vibrant greenery. Dynamic motion blur, high contrast lighting, and earthy tones amplify the thrill. Riders lean forward, focused, embodying wild freedom and adrenaline-fueled adventure in nature's raw embrace.",0.611072301864624,1.7528282403945923
