Id,Arousal,Valence,Tag,Dataset,Neutral_Prompt,Emotional_Prompt
1,-1.653465347,0.68627451,Object,oasis,"Two acorns lying on the forest floor, surrounded by fallen autumn leaves.","Two serene acorns rest gently on the forest floor, surrounded by autumn leaves. The earthy textures and soft light evoke a sense of calm and tranquility, capturing a peaceful moment in nature."
2,-1.772277228,0.519607843,Object,oasis,"Three acorns, with their caps partially detached, rest on a plain white surface.","Three acorns with partially detached caps on a white surface, evoking a sense of calm curiosity, blending natural simplicity with a touch of lighthearted charm."
3,-1.693069307,0.754901961,Object,oasis,"Five acorns with their caps still attached, lying among green and brown oak leaves on a dark background.","A cluster of five acorns with caps attached, resting amidst autumn leaves. The earthy tones evoke a serene and comforting autumnal feeling."
4,-1.134615385,0.685185185,Object,oasis,a martini with a drink in it on a table,"Cozy evening bar scene with martini glasses. Low-lit, warm atmosphere, evoking calm and serenity. Modern, stylish setting with subtle sophistication, focusing on tranquility and leisurely elegance."
5,-1.0,0.25,Object,oasis,a wall full of bottles of alcohol,"A dimly lit, cluttered bar shelf lined with various liquor bottles, the muted colors reflecting a somber, melancholic mood. The scene evokes a sense of quiet reflection and subdued energy amidst the glass and alcohol."
6,-1.653846154,0.166666667,Object,oasis,three bottles of wine on a black background,"Three shadowy wine bottles against a dark background, evoking a quiet, contemplative ambiance with a subtle hint of sophistication and melancholy."
7,-1.134615385,0.768518519,Object,oasis,a table with many glasses filled with different colored drinks,"A serene evening in a cozy lounge, rows of colorful cocktails glowing warmly under soft lighting, emanating a relaxed and contented ambiance."
8,-0.445544554,1.333333333,Object,oasis,two glasses of champagne on a tree stump,"Two elegant wine glasses sparkling in the serene sunlight, surrounded by a dreamy garden in full bloom, exuding calm and joyful celebration."
9,-1.355769231,0.537037037,Object,oasis,a wooden wine rack with bottles of wine,"A serene cellar with rows of wine bottles resting peacefully on wooden racks, dimly lit, evoking a sense of calm and gentle contentment."
10,-0.873786408,0.475247525,Object,oasis,a bar with bottles of liquor and bottles of wine,"A quiet wine cellar with soft ambient lighting, warm hues reflecting off bottles, evoking a serene yet contemplative mood."
11,-0.203883495,1.475247525,Object,oasis,two glasses of champagne on a table with a plate of food,"Serene sunset over a picturesque lake, two sparkling champagne glasses, soft golden light reflecting on the table, peaceful ambiance, romantic and tranquil evening."
12,0.163461538,-1.666666667,Object,oasis,a man on a motorcycle,"A somber wartime scene: A soldier on a vintage motorcycle with a sidecar, carrying an injured comrade through a field, horses and troops in the background. The atmosphere is heavy with the weight of battle, truly capturing the poignancy and sense of duty."
13,-0.588235294,-0.821782178,Object,oasis,an ambulance is parked on the side of the road,"An empty rural road under a gloomy sky, an idle emergency vehicle. The stillness is heavy, evoking concern and unease, suggesting a sense of urgency and distress nearby. The tension is palpable, hinting at a crisis unfolding in the near distance."
14,-0.388349515,-0.712871287,Object,oasis,a helicopter is parked in a parking with people around,"A scene of urgency: A rescue helicopter and an ambulance at a suburban emergency site, surrounded by paramedics and first responders. A palpable tension fills the air as responders coordinate amidst a backdrop of houses and greenery, embodying a mixture of calm urgency and focused diligence."
15,-0.742574257,-0.617647059,Person,oasis,a man with a beard and a hat,"A weathered man stands under dim, scattered light, his expression heavy with fatigue and sorrow, surrounded by a blurred background. Streetwear and an aura of hardship envelop his figure, evoking a deep emotional weight and melancholy in a black-and-white, gritty, urban setting."
16,-0.465346535,-0.921568627,Person,oasis,a woman with her tongue out and her mouth open,"A close-up of a person showing intense frustration, teeth clenched and brow furrowed. The background is an office with ceiling tiles, reflecting the tension and dissatisfaction in the workspace."
17,-0.336633663,-1.5,Person,oasis,a man with a surprised look on his face,"Intense anger and frustration radiate from a man with a deeply furrowed brow and contorted features. The background is an abstract chaotic blend of dark, smudged colors, emphasizing the raw emotional turmoil."
18,-0.128712871,-1.509803922,Person,oasis,a man with a beard and a beard,"Close-up of an intense, angry face with furrowed brows and deep wrinkles, capturing raw frustration and irritation. The eyes are wide and piercing, exuding displeasure. The overall tone is harsh and confrontational, evoking a sense of discomfort and tension."
19,-0.445544554,-1.147058824,Person,oasis,a man with a beard and a red light,"A dark, intense portrait of a stern, bearded man bathed in deep red light, conveying a sense of anger and desolation. His piercing eyes and furrowed brow express a deep, tumultuous struggle, amplified by the stark shadows and dramatic lighting. The overall atmosphere is filled with tension and unease."
20,-0.384615385,-1.185185185,Person,oasis,a man with his mouth open and his tongue out,"A man expressing intense anger and frustration, his mouth open in a shout, finger pointing forward. The stark emotion in his eyes reflects deep displeasure and discontentment. Background is simple and unobtrusive to emphasize the face. Photorealistic, focused on raw human emotion."
